accuracy,loss,val_accuracy,val_loss
0.4552023112773895,0.9758014678955078,0.4414168894290924,0.9360606670379639
0.5033718943595886,0.8978607058525085,0.47411444783210754,0.9786192178726196
0.5862234830856323,0.8133904337882996,0.4986376166343689,0.9373508095741272
0.662813127040863,0.7022923231124878,0.4877384305000305,0.9492658376693726
0.7403661012649536,0.567417562007904,0.5231607556343079,1.128633975982666
0.8082851767539978,0.43688714504241943,0.5340599417686462,1.2170922756195068
0.8545279502868652,0.33825501799583435,0.5367847681045532,1.412717580795288
0.9166666865348816,0.21516408026218414,0.531335175037384,1.7785358428955078
0.9426782131195068,0.1592179238796234,0.5422343611717224,1.9786574840545654
0.9696531891822815,0.10742707550525665,0.5231607556343079,2.2057459354400635
